postcode,count
2035,3
3953,1
2710,2
2448,1
2536,2
2092,1
2470,1
3840,1
3377,2
2750,1
2340,2
2541,2
4341,4
3777,1
4810,1
4868,1
2330,1
1245,1
3945,1
2578,1
4802,1
2784,1
3099,1
2557,1
2760,1
2026,1
3157,1
2602,2
2166,1
2140,2
2756,2
3047,1
2124,1
4715,1
2762,1
3804,1
3212,2
3224,2
7009,1
2200,1
3616,3
4401,1
7275,1
4380,1
2304,1
2564,1
2077,1
3922,1
820,1
3690,1
3461,2
2759,1
2107,1
2106,1
4580,1
2820,1
3550,1
4800,1
2526,1
2528,1
2168,1
2430,1
0800,1
2015,1
2450,2
3658,1
2250,1
3083,1
6169,1
4405,1
3004,1
4680,2
2099,1
3463,1
2232,1
2594,1
3460,1
5373,1
3284,1
2234,1
4352,1
2101,2
3264,1
2483,1
3799,1
4700,1
4285,1
2480,1
4860,1
2540,1
3700,1
4814,1
4815,2
4071,1
4650,2
2533,1
2757,1
1950,1
0810,1
4879,1
4402,1
3657,1
2880,1
7214,1
2800,1
2030,1
3305,1
2614,1
4126,1
2167,1
6008,1
4659,1
3860,1
2551,1
7007,1
3757,1
3437,1
3418,1
5453,1
2765,1
3250,1
3260,1
5480,1
4910,1
4865,1
2228,1
2151,1
2570,1
2529,1
3310,1
3717,1
2500,1
3764,1
2481,1
4365,1
4820,1
6065,1
5573,2
4275,1
3337,1
2850,1
3782,1
6026,1
4265,1
5558,1
5556,1
7010,1
