postcode,count
3224,2
3099,1
2472,1
3305,1
3310,1
7130,1
2140,2
3850,2
2572,1
3804,1
3666,1
2570,1
4708,1
2762,1
3047,1
2614,1
2166,2
2170,3
7112,1
4650,4
4570,3
2564,1
2151,1
3700,1
2216,2
2767,1
2200,2
3250,1
3953,1
2431,1
4868,1
4700,1
3631,2
3922,1
2210,1
2107,1
7009,1
2602,2
4380,1
2784,1
2101,2
4365,1
3979,1
4818,1
3437,1
4341,4
2757,1
3799,1
3777,1
2759,1
4402,1
3380,1
2536,2
6008,1
2750,1
2218,1
3260,1
7010,1
3461,2
2756,2
5573,2
5556,1
2551,1
2526,1
4680,5
2195,1
2541,2
7120,1
2250,3
2800,1
2528,1
3460,1
4820,1
3757,2
5453,1
4507,1
2710,2
3337,2
3764,1
2760,1
3264,1
2035,3
2416,1
3840,1
2330,1
3004,1
2557,1
2150,1
3418,1
4126,1
4352,2
4275,1
2070,1
2126,1
4815,2
2594,1
3219,1
3782,1
2162,1
2448,1
4802,1
2765,1
3029,1
6065,2
7011,1
2540,1
4218,2
3860,1
7888,1
4580,1
2015,1
3214,1
4814,1
3568,1
3463,1
2135,1
4184,1
3303,1
810,1
3820,1
820,1
2137,1
800,1
4810,2
3945,1
2263,1
5173,1
3284,1
2220,2
4800,1
6026,1
3212,2
4306,1
7050,1
3616,3
4812,1
2030,1
2168,1
4265,1
2228,1
2820,1
2025,1
1245,1
2026,1
2480,1
2176,1
6169,1
2232,1
3157,1
2088,1
2167,2
2500,1
2529,1
2124,1
3614,1
1950,1
7214,1
2533,1
2770,1
2483,1
4865,1
2251,1
2230,1
2880,1
2560,2
3160,1
3083,1
2147,1
2304,1
2450,2
4347,1
2024,1
4715,1
5344,1
4225,1
2340,3
6025,1
4401,1
3427,1
2234,1
5480,1
4881,1
2516,1
5373,1
2099,1
2048,1
2850,1
5290,1
4405,1
2430,1
3658,1
4659,1
4071,1
2267,1
2259,1
2481,1
3717,1
4860,1
4910,1
2196,1
2470,1
2161,1
2578,1
4285,1
7007,1
3203,1
4565,1
6417,1
3377,2
3844,1
2747,1
2106,1
3690,1
2077,1
2092,1
7275,1
2905,1
4350,1
5558,1
3657,1
4879,1
3550,1
