postcode,count
3568,1
2135,1
2472,1
2263,1
2251,2
7120,1
4570,3
2250,2
2218,1
2646,1
2230,1
4554,1
2340,1
3219,1
2024,1
2572,1
3380,1
2150,1
3915,1
2170,3
2267,1
2767,1
2196,1
4350,1
3427,1
6740,1
4810,1
2770,1
2220,2
2176,1
6065,1
4565,1
4218,2
4680,3
2088,1
6163,1
2166,1
2747,1
4650,2
4306,1
5344,1
4507,1
3820,1
2126,1
2137,1
4029,1
2905,1
4818,1
3979,1
3214,1
7011,1
5290,1
4347,1
3303,1
2431,1
2200,1
4812,1
3029,1
3757,1
2070,1
3614,1
2025,1
2210,1
2048,1
2560,2
2195,1
3850,2
2147,1
3631,2
3549,1
2161,1
7050,1
5173,1
3844,1
2162,1
7112,1
2216,2
4184,1
3337,1
2167,1
3160,1
4225,1
4352,1
2516,1
2259,1
3666,1
